Time,X,Y,Z
1534367603.90000295639038085938,4699697.68744430784136056900024,-9321417.9016263484954833984375,222.90509033203125
1534367604.40004706382751464844,4699697.49568484816700220108032,-9321417.87889016792178153991699,223.1240234375
1534367604.90004897117614746094,4699697.46669718716293573379517,-9321417.95916809886693954467773,222.7889556884765625
1534367605.40000295639038085938,4699697.4961203271523118019104,-9321418.09631753899157047271729,222.84844970703125
1534367605.90000295639038085938,4699697.44410688430070877075195,-9321418.20060175284743309020996,222.7231903076171875
1534367606.40001893043518066406,4699697.27692670002579689025879,-9321418.24747955426573753356934,222.756195068359375
1534367606.90008807182312011719,4699697.18860243912786245346069,-9321418.42236660420894622802734,222.38531494140625
1534367607.40000295639038085938,4699697.22064069379121065139771,-9321418.61427251994609832763672,220.817626953125
1534367607.90000295639038085938,4699697.11874585784971714019775,-9321418.75847983919084072113037,220.0520782470703125
1534367608.40000391006469726562,4699696.93147037271410226821899,-9321418.80724132247269153594971,219.6385040283203125
1534367608.900096893310546875,4699696.42732207290828227996826,-9321418.59401613846421241760254,220.5711517333984375
1534367609.40000391006469726562,4699696.02531799953430891036987,-9321418.48148267716169357299805,220.803375244140625
1534367609.90000510215759277344,4699695.74490520637482404708862,-9321418.34444283694028854370117,221.3308868408203125
1534367610.40000391006469726562,4699695.59747968241572380065918,-9321418.37709090672433376312256,221.72509765625
1534367610.90012097358703613281,4699695.44379414059221744537354,-9321418.39565642923116683959961,221.9418182373046875
1534367611.40000295639038085938,4699695.21603167615830898284912,-9321418.3888246621936559677124,222.2976531982421875
1534367611.90000391006469726562,4699695.20666852500289678573608,-9321418.52152992226183414459229,222.1625823974609375
1534367612.40000295639038085938,4699695.0367768201977014541626,-9321418.76018087938427925109863,222.15020751953125
1534367612.9001560211181640625,4699694.57025688234716653823853,-9321418.57866678945720195770264,222.158905029296875
1534367613.40000295639038085938,4699694.07021155674010515213013,-9321418.5201164074242115020752,221.8598785400390625
1534367613.90000391006469726562,4699693.71093159075826406478882,-9321418.53770035319030284881592,221.945953369140625
1534367614.40000295639038085938,4699693.44325867667794227600098,-9321418.50832033343613147735596,221.7236785888671875
1534367614.90017294883728027344,4699693.27818975225090980529785,-9321418.54695504531264305114746,221.6444854736328125
1534367615.40000295639038085938,4699693.03194716665893793106079,-9321418.5922222658991813659668,221.5954742431640625
1534367615.90000391006469726562,4699692.79175555147230625152588,-9321418.66336095519363880157471,221.365875244140625
1534367616.40000200271606445312,4699692.36479878053069114685059,-9321418.54243101738393306732178,221.022735595703125
1534367616.9001979827880859375,4699692.16988685913383960723877,-9321418.62365491501986980438232,221.36651611328125
1534367617.40000295639038085938,4699691.83675316814333200454712,-9321418.6015733890235424041748,221.353759765625
1534367617.90000391006469726562,4699691.96903157327324151992798,-9321418.8652691580355167388916,221.0460205078125
1534367618.40000391006469726562,4699691.9897581748664379119873,-9321419.0848153028637170791626,220.9504852294921875
1534367618.90022492408752441406,4699691.92277292814105749130249,-9321419.51023167558014392852783,219.7194061279296875
1534367619.40000391006469726562,4699691.88551287818700075149536,-9321419.89425089955329895019531,219.188385009765625
1534367619.90000295639038085938,4699691.86488416604697704315186,-9321420.35595508851110935211182,218.6546783447265625
1534367620.40000200271606445312,4699691.86070728674530982971191,-9321420.89515164308249950408936,218.121612548828125
1534367620.90024399757385253906,4699691.86273343674838542938232,-9321421.45856307074427604675293,217.5933074951171875
1534367621.40001201629638671875,4699691.8524500541388988494873,-9321421.99531084485352039337158,217.1165771484375
1534367621.90000295639038085938,4699691.84426791220903396606445,-9321422.53566120378673076629639,216.6410064697265625
1534367622.40000391006469726562,4699691.82621245644986629486084,-9321423.06951922737061977386475,216.207061767578125
1534367622.90004491806030273438,4699691.80447576753795146942139,-9321423.60369753651320934295654,215.826568603515625
1534367623.40006399154663085938,4699691.7788371043279767036438,-9321424.16739560849964618682861,215.51763916015625
